GT	ChatGPT-3.5	ChatGPT-4	Gemini-1.5	LLAMA3-70B	LLAMA3-8B	gpt4.1-mini	gpt4o-mini
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-257	CWE-287	CWE-287	CWE-287	CWE-306	CWE-306	CWE-264	CWE-287
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-119	CWE-787	CWE-787	CWE-787	CWE-119	CWE-787	CWE-787
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-269	CWE-269	CWE-269	CWE-269	CWE-264	CWE-269	CWE-269	CWE-274
CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918
CWE-79	CWE-79	CWE-434	CWE-434	CWE-434	CWE-79	CWE-79	CWE-20
CWE-116	CWE-200	CWE-532	CWE-532	CWE-209	CWE-532	CWE-200	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-80	CWE-79	CWE-79
CWE-119	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-77	CWE-78	CWE-77	CWE-918	CWE-20	CWE-78	CWE-269	CWE-77
CWE-346	CWE-269	CWE-863	CWE-269	CWE-250	CWE-269	CWE-269	CWE-20
CWE-532	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-77	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-94	CWE-79	CWE-79
CWE-404	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-20	CWE-400
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-22	CWE-23	CWE-23	CWE-22	CWE-23	CWE-22	CWE-23	CWE-22
CWE-22	CWE-284	CWE-59	CWE-22	CWE-641	CWE-22	CWE-22	CWE-20
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-829	CWE-347	CWE-320	CWE-311	CWE-326	CWE-345	CWE-347	CWE-326
CWE-611	CWE-862	CWE-611	CWE-829	CWE-862	CWE-276	CWE-284	CWE-284
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-20
CWE-200	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200
CWE-476	CWE-476	CWE-476	CWE-476	CWE-686	CWE-476	CWE-476	CWE-476
CWE-787	CWE-121	CWE-124	CWE-121	CWE-131	CWE-119	CWE-124	CWE-121
CWE-908	CWE-125	CWE-200	CWE-668	CWE-824	CWE-125	CWE-908	CWE-457
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20
CWE-295	CWE-295	CWE-295	CWE-312	CWE-295	CWE-287	CWE-295	CWE-295
CWE-754	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-787	CWE-362	CWE-362	CWE-362	CWE-362	CWE-787	CWE-362	CWE-787
CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-74	CWE-611	CWE-94	CWE-77	CWE-674	CWE-94	CWE-74	CWE-20
CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284
CWE-78	CWE-78	CWE-78	Error	CWE-78	CWE-78	CWE-78	CWE-78
CWE-610	CWE-918	CWE-284	CWE-425	CWE-923	CWE-306	CWE-284	CWE-284
CWE-120	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-404	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-416	CWE-119	CWE-362	CWE-362	CWE-362	CWE-119	CWE-362	CWE-824
CWE-347	CWE-347	CWE-347	CWE-291	CWE-345	CWE-345	CWE-347	CWE-20
CWE-681	CWE-195	CWE-195	CWE-190	CWE-195	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-94	CWE-79	CWE-79
CWE-120	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-119	CWE-787	CWE-787	CWE-787	CWE-120	CWE-787	CWE-787
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362
CWE-79	CWE-352	CWE-352	CWE-306	CWE-352	CWE-352	CWE-284	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-522	CWE-312	CWE-319	CWE-311	CWE-319	CWE-319	CWE-319	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-476	CWE-787	CWE-476	CWE-682	CWE-686	CWE-476	CWE-476	CWE-476
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-306	CWE-287	CWE-306	CWE-862	CWE-306	CWE-306	CWE-306	CWE-287
CWE-862	CWE-285	CWE-548	CWE-548	CWE-548	CWE-22	CWE-200	CWE-284
CWE-327	CWE-682	CWE-682	CWE-121	CWE-131	CWE-674	CWE-682	CWE-682
CWE-732	CWE-269	CWE-378	CWE-732	CWE-379	CWE-259	CWE-276	CWE-276
CWE-209	CWE-532	CWE-532	CWE-117	CWE-532	CWE-532	CWE-209	CWE-532
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-404	CWE-400	CWE-400	CWE-476	CWE-400	CWE-400	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-306	CWE-306	CWE-287	CWE-287	CWE-306	CWE-306	CWE-306	CWE-287
CWE-470	CWE-94	CWE-470	CWE-79	CWE-470	CWE-20	CWE-470	CWE-470
CWE-319	CWE-319	CWE-319	CWE-311	CWE-319	CWE-319	CWE-319	CWE-311
CWE-120	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
